epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4794,1.29423,1.62128,1.43713,0.6223,0.66207,0.65218,0.32931,1.69094,2.46479,1.77081,0.0671111,0.000332211,0.000332211
2,165.953,1.31831,1.30648,1.47072,0.82195,0.60221,0.70485,0.40177,1.5695,1.58331,1.67113,0.0341108,0.000665213,0.000665213
3,238.553,1.26896,1.20328,1.4315,0.7749,0.66698,0.7461,0.41564,1.49471,1.26149,1.61259,0.00110912,0.000996887,0.000996887
4,311.248,1.24554,1.12097,1.4208,0.86902,0.76548,0.85148,0.47988,1.51625,0.97739,1.66439,0.00099552,0.00099552,0.00099552
5,382.862,1.20962,1.05095,1.39313,0.86678,0.81457,0.87773,0.51842,1.40931,1.01121,1.5306,0.000992045,0.000992045,0.000992045
6,455.179,1.20611,0.99884,1.38447,0.89667,0.82317,0.91273,0.54354,1.41278,0.84232,1.50076,0.000987589,0.000987589,0.000987589
7,527.455,1.16238,0.94835,1.36336,0.88226,0.89623,0.92899,0.57334,1.37124,0.75215,1.52516,0.000982162,0.000982162,0.000982162
8,600.42,1.1572,0.90694,1.35585,0.91398,0.84192,0.91446,0.55963,1.42757,0.80868,1.50324,0.000975773,0.000975773,0.000975773
9,672.855,1.14776,0.89279,1.35142,0.88028,0.83938,0.90799,0.572,1.35609,0.76467,1.52046,0.000968436,0.000968436,0.000968436
10,745.065,1.13868,0.88106,1.33497,0.9299,0.87141,0.93146,0.57343,1.38427,0.69814,1.46202,0.000960166,0.000960166,0.000960166
11,817.214,1.12677,0.8541,1.33483,0.89995,0.84801,0.92305,0.57343,1.382,0.73996,1.46397,0.00095098,0.00095098,0.00095098
12,888.497,1.11739,0.82946,1.3348,0.93645,0.8821,0.94195,0.59373,1.35459,0.70057,1.46683,0.000940895,0.000940895,0.000940895
